FOLDERYEAR,BusinessName,BusinessTradeName,BusinessType,BusinessSubType,Address,City,LocalArea,NumberofEmployees,FeePaid
24,Dura Development Inc,,Office,Real Estate Development/Investment,650 Unit 999 W BROADWAY,Vancouver,Fairview,1.0,250.0
24,Pacific West Engineering Ltd,,Office,Engineer,,Vancouver,Victoria-Fraserview,1.0,500.0
24,(Iain  Thompson),Ernst & Young LP,Office,Consultant,1900 Unit 1133 MELVILLE ST,Vancouver,Downtown,650.0,250.0
24,Chime Financial Canada Inc,Chime Canada,Office,Other,1500 Unit 601 W HASTINGS ST,Vancouver,Downtown,55.0,250.0
24,Colin Kaguru Berg Mbugua (Colin Mbugua),Kagvrv,Office,Architect,,Vancouver,Kitsilano,1.0,250.0
24,Targeted Strategies Limited,,Office,Insurance Agent,1150 Unit 885 W GEORGIA ST,Vancouver,Downtown,8.0,250.0
24,(Wayne Ma),Praxis Legal,Office,Barrister & Solicitor,3159 CAMBIE ST,Vancouver,Fairview,5.0,250.0
24,Yuk Wai (Gary) Chan (Yuk Chan),Praxis Legal,Office,Barrister & Solicitor,3159 CAMBIE ST,Vancouver,Fairview,5.0,250.0
24,Hive Business Solutions Inc,,Office,Consultant,,Vancouver,West Point Grey,2.0,250.0
24,(Rasie Bamigbade),RB Jumpstart Coaching,Office,Consultant,,Vancouver,,1.0,250.0
24,LoyaltyLive! Solutions Inc,,Office,Advertising Agent,102 Unit 2855 ARBUTUS ST,Vancouver,Kitsilano,3.0,250.0
24,Salish Sea Strategy Ltd,,Office,Advertising Agent,,Vancouver,Marpole,2.0,250.0
24,Nobl Collective Ltd,,Office,Consultant,,Vancouver,Kitsilano,1.0,250.0
24,645064 BC Ltd,Trade Exchange Canada,Office,Other,,Vancouver,Kitsilano,1.0,250.0
24,(Louise Turgeon),Turgeon Business Consulting,Office,Consultant,,Vancouver,Downtown,1.0,250.0
24,GWL Reality Advisors Residential Inc,,Office,Property Management,320 Unit 650 W GEORGIA ST,Vancouver,Downtown,1.0,250.0
24,Agency Brand Management Inc,,Office,Broker,,Vancouver,Mount Pleasant,15.0,250.0
24,Baron Global Financial Canada Ltd,,Office,Consultant,2250 Unit 1055 W HASTINGS ST,Vancouver,Downtown,5.0,250.0
24,Jana W Mansour (Jana Mansour),Dentons Canada LLP,Office,Barrister & Solicitor,2000 Unit 250 HOWE ST,Vancouver,Downtown,217.0,250.0
24,E-xact Transactions (Canada) Ltd,E-xact Transactions,Office,Administration,200 Unit 128 W 6TH AV,Vancouver,Mount Pleasant,25.0,250.0
24,Pacific Coastal Cruises & Tours Ltd,Pacific Coastal Cruises,Office,Tour Operator/Guide,306 Unit 910 BEACH AV,Vancouver,Downtown,2.0,292.0
24,(Jennifer McRoberts),Bethink Interiors,Office,Interior Design/Decorator,,Vancouver,West End,1.0,250.0
24,I-Grammaticos Platform Solution Inc,,Office,Administration,1622 W 1ST AV,Vancouver,Fairview,2.0,250.0
24,Global Enlightening Enterprise Inc,,Office,Consultant,,Vancouver,West End,2.0,250.0
24,Solaris Resources Inc,,Office,Mining Exploration,555 Unit 999 CANADA PLACE,Vancouver,Downtown,10.0,250.0
24,H H Angus and Associates Limited,,Office,Engineer,453 Unit 595 BURRARD ST,Vancouver,Downtown,32.0,500.0
24,Jordan D Schultz (Jordan Schultz),Dentons Canada LLP,Office,Barrister & Solicitor,20th Floor 250 HOWE ST,Vancouver,Downtown,217.0,250.0
24,(Kari Hull),Hull Agency,Office,Manufacturer's Agent,219 Unit 1951 GLEN DRIVE,Vancouver,Strathcona,2.0,250.0
24,Orna M Blumfeld Elizur  (Orna   Blumfeld Elizur ),EL Insurance Services,Office,Insurance Agent,,Vancouver,Riley Park,1.0,250.0
24,Edelmann & Company Law Corporation,,Office,Barrister & Solicitor,905 Unit 207 W HASTINGS ST,Vancouver,Downtown,15.0,250.0
24,DPM Consulting Ltd,,Office,Consultant,400 Unit 601 W BROADWAY,Vancouver,Fairview,2.0,250.0
24,(Johannes Kroller),Focacciaza,Office,Street Vendor,1007 E CORDOVA ST,Vancouver,Strathcona,1.0,250.0
24,(Mirmosadegh Jamali),Scientia Books,Office,Publisher,,Vancouver,,1.0,250.0
24,Amazon Development Centre Canada ULC,,Office,Administration,1400 Unit 510 W Georgia St,Vancouver,Downtown,859.0,250.0
24,C & O Advisory Inc,,Office,Consultant,,Vancouver,Kitsilano,1.0,250.0
24,Odera Holdings Ltd,Odera Health,Office,Consultant,,Vancouver,Kensington-Cedar Cottage,1.0,292.0
24,Simon Lowe Coaching Ltd,,Office,Consultant,,Vancouver,Mount Pleasant,1.0,250.0
24,Ravinder Bains Notary Corporation,Capstone Notary Public,Office,Notary Public,4310 FRASER ST,Vancouver,Kensington-Cedar Cottage,1.0,292.0
24,Pennyfarthing QE Park Properties Inc,Pennyfarthing Homes,Office,Administration,3373 CAMBIE ST,Vancouver,South Cambie,3.0,292.0
24,ABSO ENGINEERING INC,,Office,Engineer,,Vancouver,Downtown,1.0,250.0
24,(HENRY PRECHEUR),HENRY PRECHEUR CONSULTING,Office,Consultant,,Vancouver,Kensington-Cedar Cottage,1.0,250.0
24,(Rebecca Graham),NicelyDone,Office,Administration,,Vancouver,West Point Grey,1.0,250.0
24,(Ajoypal  Lidder),Percom Management Consulting,Office,Consultant,,Vancouver,Downtown,1.0,292.0
24,YVR Aesthetic Training And Study Centre Inc,,Office,Consultant,517 Unit 750 W BROADWAY,Vancouver,Fairview,5.0,250.0
24,Margo C Metcalfe (Margo Metcalfe),,Office,Consultant,,Vancouver,Mount Pleasant,1.0,250.0
24,JY Immigration Services Ltd,,Office,Consultant,202 Unit 1089 W BROADWAY,Vancouver,Fairview,7.0,250.0
24,MEC Mountain Equipment Company Ltd,Mountain Equipment Company,Office,Administration,101 Unit 887 GREAT NORTHERN WAY,Vancouver,Strathcona,193.0,250.0
24,(Mikala Folb),,Office,Other,,Vancouver,West End,1.0,250.0
24,Eaglegreen LLP,,Office,Administration,170  422 RICHARDS ST,Vancouver,Downtown,1.0,292.0
24,Clicks & Copy Marketing Ltd,,Office,Consultant,,Vancouver,Downtown,1.0,250.0
24,The Commons Inclusion Strategies Inc,The Commons Consulting,Office,Consultant,,Vancouver,Marpole,1.0,461.0
24,Joann M Gillis (Joann Gillis),Chosen Virtual Assistant Solutions,Office,Administration,,Vancouver,Marpole,1.0,250.0
24,Lindsey Cruickshank Law Corporation,Cruickshank & Company,Office,Barrister & Solicitor,600 Unit 777 HORNBY ST,Vancouver,Downtown,3.0,250.0
24,Taktikai Consulting Corp,,Office,Consultant,,Vancouver,West End,1.0,250.0
24,BakerWest Real Estate Incorporated,BakerWest,Office,Broker,980 Unit 1500 W GEORGIA ST,Vancouver,West End,8.0,292.0
24,Steven W Sawers (Steven Sawers),JLS Technology Consulting,Office,Consultant,,Vancouver,Kensington-Cedar Cottage,1.0,292.0
24,(Gail Hazell),Hazell and Main,Office,Design Company,,Vancouver,,1.0,250.0
24,Codix Management Ltd,,Office,Management Company,204 Unit 1080 MAINLAND ST,Vancouver,Downtown,6.0,320.0
24,Create Urban Development Corp,,Office,Project Management,1580 Unit 505 BURRARD ST,Vancouver,Downtown,8.0,250.0
24,Setlans Immigration Services Inc,,Office,Consultant,720 Unit 999 W BROADWAY,Vancouver,Fairview,1.0,250.0
24,Properly Homes Inc,Properly,Office,Broker,170 Unit 422 RICHARDS ST,Vancouver,Downtown,1.0,250.0
24,Wayne Company of Immigration Consulting Corp,The Company of Immigration Consulting,Office,Consultant,405 Unit 609 W HASTINGS ST,Vancouver,Downtown,3.0,250.0
24,Ojohome Canada Ltd,,Office,Development Company,600 Unit 777 HORNBY ST,Vancouver,Downtown,1.0,292.0
24,Ensemble Systems Inc,Ensemble,Office,Consultant,439 HELMCKEN ST,Vancouver,Downtown,30.0,250.0
24,Kits Brew inc,,Office,Advertising Agent,,Vancouver,Kitsilano,1.0,250.0
24,Geoff Pedlow Law Corporation,,Office,Barrister & Solicitor,2900 Unit 550 BURRARD ST,Vancouver,Downtown,1.0,250.0
24,(Laura Smith),,Office,Barrister & Solicitor,2900 Unit 550 BURRARD ST,Vancouver,Downtown,1.0,250.0
24,(Adrian Wan),,Office,Barrister & Solicitor,2900 Unit 550 BURRARD ST,Vancouver,Downtown,1.0,250.0
24,(Morgyn Chandler),Hammerco Lawyers LLP,Office,Barrister & Solicitor,400 Unit 2233 COLUMBIA ST,Vancouver,Mount Pleasant,2.0,250.0
24,Sportschuetz & Company Law Corporation,,Office,Barrister & Solicitor,315 Unit 63 W 6TH AV,Vancouver,,2.0,250.0
24,Forme Properties Inc,,Office,Real Estate Development/Investment,517 Unit 1177 W HASTINGS ST,Vancouver,Downtown,4.0,250.0
24,Domain Creative Design Services Ltd,,Office,Interior Design/Decorator,,Vancouver,Downtown,1.0,250.0
24,S I Systems ULC,,Office,Consultant,1480 Unit 1090 W GEORGIA ST,Vancouver,West End,20.0,250.0
24,1078208 BC Ltd,Robson Concession,Office,Street Vendor,302 INDUSTRIAL AV,Vancouver,Strathcona,4.0,292.0
24,Jeffrey Hand & Bonita Lews-Hand,Innovative Legal Solutions LLP,Office,Barrister & Solicitor,530 Unit 625 HOWE ST,Vancouver,Downtown,4.0,250.0
24,Cerise Immigration Consulting Inc,,Office,Consultant,400 Unit 601 W BROADWAY,Vancouver,Fairview,2.0,250.0
24,Dimex Project Marketing & Consulting Inc,,Office,Real Estate Development/Investment,610 Unit 1155 W PENDER ST,Vancouver,Downtown,5.0,250.0
24,Dimex Realty Inc,,Office,Broker,610 Unit 1155 W PENDER ST,Vancouver,Downtown,6.0,250.0
24,(Malcom Shield),Caelum Strategic,Office,Consultant,,Vancouver,,1.0,250.0
24,Darrell L Morris  (Darrell Morris),West Coast Freelance Sales,Office,Other,,Vancouver,Downtown,1.0,292.0
24,(Chantel Mah),Chantel Mah Design,Office,Interior Design/Decorator,,Vancouver,Grandview-Woodland,1.0,250.0
24,Potting Bird Ltd,Pottinger Bird Community Relation,Office,Consultant,502 Unit 535 THURLOW ST,Vancouver,Downtown,5.0,250.0
24,(Shimen Fallah),,Office,Consultant,600 Unit 890 W PENDER ST,Vancouver,Downtown,1.0,250.0
24,Cardea Health Consulting Inc,,Office,Consultant,326 Unit 309 W CORDOVA ST,Vancouver,Downtown,1.0,250.0
24,(Sunita Syal),,Office,Barrister & Solicitor,428 Unit 755 BURRARD ST,Vancouver,West End,1.0,250.0
24,Vancity,Vancity,Office,Advertising Agent,,Vancouver,Killarney,1.0,250.0
24,(Allison Thompson),AT Art And Interiors,Office,Interior Design/Decorator,,Vancouver,Mount Pleasant,1.0,250.0
24,CMLS Realty Ltd,,Office,Broker,2110 Unit 1066 W HASTINGS ST,Vancouver,Downtown,600.0,250.0
24,Celerity Architectural Services Ltd,,Office,Architect,,Vancouver,Fairview,1.0,250.0
24,Channelshift Media Inc,,Office,Consultant,,Vancouver,Downtown,1.0,250.0
24,Olger O P Varhen (Olger Varhen),Porto Van Immigrations,Office,Consultant,,Vancouver,Fairview,1.0,250.0
24,Jaime C Bravo (Jaime Bravo),JCB Global Canadian Immigration Consultancy,Office,Consultant,300 Unit 5118 JOYCE ST,Vancouver,Renfrew-Collingwood,1.0,250.0
24,Instream Fisheries Research Inc,,Office,Consultant,215 Unit 2323 BOUNDARY ROAD,Vancouver,Hastings-Sunrise,7.0,250.0
24,Cisco Systems Canada Co,,Office,Administration,600 Unit 675 W HASTINGS ST,Vancouver,Downtown,80.0,250.0
24,Bahrami Immigration Inc,,Office,Consultant,495 Unit 1140 W PENDER ST,Vancouver,Downtown,3.0,250.0
24,Birak Berry Farms Ltd,,Office,Administration,7277 FRASER ST,Vancouver,Sunset,5.0,250.0
24,United Trends Limited,,Office,Design Company,1600 Unit 1111 W GEORGIA ST,Vancouver,Downtown,1.0,292.0
24,MLG Law Corporation,Mitha Law Group,Office,Barrister & Solicitor,920 Unit 543 GRANVILLE ST,Vancouver,Downtown,6.0,292.0
24,(Lori Smith),Growing Together Garden Art and Design,Office,Design Company,,Vancouver,Dunbar-Southlands,1.0,250.0
24,(Carman Overholt),Overholt Law LLP,Office,Barrister & Solicitor,601 Unit 570 GRANVILLE ST,Vancouver,Downtown,12.0,278.0
24,(Samantha Haff),Lemon Lane Interiors,Office,Interior Design/Decorator,,Vancouver,Riley Park,1.0,250.0
24,(Jungwha Lee),Jucoble Design,Office,Design Company,,Vancouver,Hastings-Sunrise,1.0,250.0
24,Westland Insurance,,Office,Insurance Agent,2110 LAHB AV,Vancouver,,8.0,250.0
24,Peaceful Media Ltd,,Office,Management Company,120 Unit 1200 W 73RD AV,Vancouver,Marpole,10.0,250.0
24,DT Design Studio Inc,,Office,Interior Design/Decorator,300 Unit 1275 W 6TH AV,Vancouver,Fairview,2.0,250.0
24,Brivia Management Inc,,Office,Consultant,1318 Unit 1030 W GEORGIA ST,Vancouver,West End,2.0,250.0
24,CTA Architecture + Design Ltd,,Office,Architect,110 Unit 2920 VIRTUAL WAY,Vancouver,Renfrew-Collingwood,19.0,500.0
24,Julie M Miller (Julie Miller),Creative Shift Studio,Office,Interior Design/Decorator,,Vancouver,Kitsilano,1.0,292.0
24,Saltwater City Social Enterprise Inc,,Office,Publisher,,Vancouver,Marpole,1.0,250.0
24,Royal Claims Services Ltd,,Office,Insurance Adjuster,502 Unit 850 W HASTINGS ST,Vancouver,Downtown,7.0,250.0
24,(Olivia Whynot),,Office,Barrister & Solicitor,440 Unit 319 W PENDER ST,Vancouver,Downtown,1.0,250.0
24,R.A. Jarvis Law Corporation,,Office,Barrister & Solicitor,1400 Unit 550 BURRARD ST,Vancouver,Downtown,98.0,250.0
24,Vancity,,Office,Drafting Service,,Vancouver,Killarney,1.0,500.0
24,Moon Holdings #4 Ltd,Pokerrito,Office,Administration,110 & 120 Unit 350 W 8TH AV,Vancouver,Mount Pleasant,5.0,250.0
24,Open Concept (2104) Hastings) Limited Partnership,,Office,Real Estate Development/Investment,515 Unit 938 HOWE ST,Vancouver,Downtown,2.0,250.0
24,Good Boy Collective Inc,,Office,Other,17 E BROADWAY,Vancouver,Mount Pleasant,5.0,250.0
24,HTH Minerals Ltd,,Office,Mining Exploration,202 Unit 2590 GRANVILLE ST,Vancouver,Fairview,1.0,250.0
24,Ixta Corporate Holdings Ltd,,Office,Administration,520 Unit 625 HOWE ST,Vancouver,Downtown,1.0,250.0
24,YF Globe Adventure Corporation,,Office,Manufacturer's Agent,311 Unit 698 SEYMOUR ST,Vancouver,Downtown,6.0,250.0
24,Circus Technologies Inc,,Office,Administration,,Vancouver,Strathcona,11.0,250.0
24,ReLoad Sustainable Design Inc,,Office,Consultant,423 Unit 119 W PENDER ST,Vancouver,Downtown,4.0,292.0
24,Ascent Insurance Services Inc,,Office,Insurance Agent,1200 Unit 1111 W GEORGIA ST,Vancouver,Downtown,2.0,278.0
24,1322668 BC Ltd,,Office,Consultant,,Vancouver,West End,1.0,250.0
24,FMR Management Ltd,Kitchen Table Group,Office,Administration,110 Unit 1529 W 6TH AV,Vancouver,Fairview,17.0,250.0
24,BC Home Drafting And Consulting Ltd,,Office,Drafting Service,304 Unit 3525 W BROADWAY,Vancouver,Kitsilano,2.0,542.0
24,Code Sphere Network Inc,,Office,Consultant,922 Unit 510 W HASTINGS ST,Vancouver,Downtown,1.0,250.0
24,(Arjun Pai),Dr Arjun Pai Astrology,Office,Consultant,,Vancouver,Victoria-Fraserview,1.0,250.0
24,Ravens Immigration Corporation,,Office,Consultant,,Vancouver,Sunset,2.0,250.0
24,Chroma Global Technologies Ltd,,Office,Other,1108 Unit 1030 W GEORGIA ST,Vancouver,West End,12.0,292.0
24,J. Masalonga Immigration Consulting Inc,,Office,Consultant,,Vancouver,Downtown,1.0,292.0
24,Blanken Barbosa Architecture Inc,Blanken Barbosa Architecture,Office,Architect,,Vancouver,West End,1.0,500.0
24,Resonance Consultancy Ltd,Resonance,Office,Consultant,306 Unit 1040 HAMILTON ST,Vancouver,Downtown,11.0,250.0
24,HC Immigration Inc,,Office,Consultant,605 Unit 369 TERMINAL AV,Vancouver,Strathcona,4.0,250.0
24,Peter J Brown Law Corporation,Edwards Kenny & Bray Barrister & Solicitors,Office,Barrister & Solicitor,Unit 1040 W GEORGIA ST,Vancouver,West End,1.0,250.0
24,Canascent Enterprises Ltd,Wish Vancouver,Office,Manufacturer's Agent,100 Unit 853 RICHARDS ST,Vancouver,Downtown,8.0,250.0
24,Kootenay Silver Inc,,Office,Mining Exploration,1125 Unit 595 HOWE ST,Vancouver,Downtown,4.0,250.0
24,David E Turner Law Corporation,Edwards Kenny & Bray LLP,Office,Barrister & Solicitor,1900 Unit 1040 W GEORGIA ST,Vancouver,West End,1.0,250.0
24,MBD Maple Building Design Inc,,Office,Architect,6669 MAIN ST,Vancouver,Sunset,4.0,500.0
24,Fraser Hartley Law Corporation,Edwards Kenny & Bray LLP,Office,Barrister & Solicitor,1900 Unit 1040 W GEORGIA ST,Vancouver,West End,1.0,250.0
24,Alan Boniface Architect Ltd,Boniface Oleksiuk Politano Architects,Office,Architect,180 Unit 510 NICOLA ST,Vancouver,Downtown,20.0,250.0
24,DSV Air & Sea Inc,,Office,Administration,938 Unit 1100 MELVILLE ST,Vancouver,Downtown,32.0,250.0
24,Pacific General Underwriting Management Ltd,,Office,Insurance Agent,3303 FRASER ST,Vancouver,Riley Park,5.0,250.0
24,Dawson Group Enterprises Ltd,,Office,Administration,1066 Unit 999 W HASTINGS ST,Vancouver,Downtown,2.0,250.0
24,McFoster Living Realty Inc,,Office,Property Management,1590 Unit 666 BURRARD ST,Vancouver,Downtown,2.0,250.0
24,Sterling Management Services Ltd,,Office,Property Management,2033 Unit 1177 W HASTINGS ST,Vancouver,Downtown,10.0,250.0
24,Adrian Politano Architect Ltd,Boniface Oleksiuk Politano Architects,Office,Architect,180 Unit 510 NICOLA ST,Vancouver,Downtown,20.0,250.0
24,Sooyi Design Inc,,Office,Interior Design/Decorator,207 Unit 1490 W 72ND AV,Vancouver,Marpole,3.0,250.0
24,Loba Wellness Inc,Loba,Office,Administration,1212 Unit 207 W HASTINGS ST,Vancouver,Downtown,1.0,292.0
24,Meliora Business Administration Inc,,Office,Administration,,Vancouver,Renfrew-Collingwood,1.0,250.0
24,Warrington Management Ltd & Advance 44 Investments Ltd & PCI Developments Limited Partnership,Warrington PCI Management,Office,Property Management,300 Unit 1030 W GEORGIA ST,Vancouver,West End,50.0,250.0
24,Almond Tree Media Inc,,Office,Consultant,306 Unit 2309 W 41ST AV,Vancouver,Arbutus-Ridge,8.0,292.0
24,(Daria Sheina),Daria Sheina Studio,Office,Architect,,Vancouver,Downtown,1.0,250.0
24,(Jennifer Johnston),Bevvie,Office,Administration,,Vancouver,Kerrisdale,2.0,292.0
24,(David Woolias),Harris and Company,Office,Barrister & Solicitor,1400 Unit 550 BURRARD ST,Vancouver,Downtown,98.0,250.0
24,Amritpal Singh Grewal (Amritpal Grewal),ASG Law,Office,Barrister & Solicitor,428 Unit 755 BURRARD ST,Vancouver,West End,1.0,250.0
24,David Sky Law Corporation,,Office,Barrister & Solicitor,428 Unit 755 BURRARD ST,Vancouver,West End,3.0,250.0
24,George Douvelos Law Corporation,DG Barristers,Office,Barrister & Solicitor,428 Unit 755 BURRARD ST,Vancouver,West End,5.0,250.0
24,Marrimor Studio Inc,,Office,Interior Design/Decorator,207 Unit 33 E 8TH AV,Vancouver,Mount Pleasant,5.0,250.0
24,Ivanhoe Mines Ltd,,Office,Mining Exploration,606 Unit 999 CANADA PLACE,Vancouver,Downtown,5.0,250.0
24,(Ariel Goldenberg),Conflict Services,Office,Consultant,,Vancouver,Hastings-Sunrise,1.0,250.0
24,Transca Real Estate Development (Canada) Limited,,Office,Real Estate Development/Investment,2010 Unit 1075 W GEORGIA ST,Vancouver,Downtown,9.0,250.0
24,(Brittni Arthur),Snap Consulting,Office,Consultant,308 Unit 877 E HASTINGS ST,Vancouver,Strathcona,1.0,250.0
24,DLP Designs Inc,,Office,Property Management,,Vancouver,Hastings-Sunrise,1.0,292.0
24,Bradley N Cocke (Bradley Cocke),Harris and Company,Office,Barrister & Solicitor,1400 Unit 550 BURRARD ST,Vancouver,Downtown,1.0,250.0
24,CWR Immigration Consulting Ltd,,Office,Consultant,600 Unit 890 W PENDER ST,Vancouver,Downtown,2.0,250.0
24,Leeson Engineering Incorporated,,Office,Engineer,1545 W 75TH AV,Vancouver,Marpole,13.0,292.0
24,(Samena Hart),Hart Hous Interior Design,Office,Interior Design/Decorator,,Vancouver,Fairview,1.0,250.0
24,(Guy Dansereau),ChefAble Culinary Consultants,Office,Consultant,,Vancouver,Fairview,1.0,250.0
24,(Guy Patterson),Young Anderson,Office,Barrister & Solicitor,1616 Unit 808 NELSON ST,Vancouver,Downtown,34.0,250.0
24,David Ashley Beamish (David Beamish),Locstr,Office,Consultant,,Vancouver,Grandview-Woodland,1.0,292.0
24,Modus Planning Design and Engagement Inc,Modus,Office,Consultant,207 Unit 55 E CORDOVA ST,Vancouver,Downtown,13.0,250.0
24,Bold Therapeutics Inc,,Office,Other,515 Unit 850 W HASTINGS ST,Vancouver,Downtown,7.0,292.0
24,Thomas Arbogast Law Corporation,TALAW,Office,Barrister & Solicitor,428 Unit 755 BURRARD ST,Vancouver,West End,2.0,250.0
24,Element 29 Resources Inc,,Office,Mining Exploration,1005 Unit 409 Granville St,Vancouver,Downtown,6.0,250.0
24,Top Speed Energy Holding Ltd,,Office,Administration,1720 Unit 505 BURRARD ST,Vancouver,Downtown,10.0,250.0
24,Falken Reynolds Interiors Inc,,Office,Interior Design/Decorator,330 Unit 1199 W PENDER ST,Vancouver,Downtown,7.0,250.0
24,Rockdoc Corrections Consulting Inc,Rockdoc,Office,Consultant,,Vancouver,Shaughnessy,20.0,250.0
24,Premium Sound Inc,Headphones.com,Office,Administration,401 Unit 850 W HASTINGS ST,Vancouver,Downtown,7.0,250.0
24,Zymeworks BC Inc,,Office,Administration,200/500/700/800 Unit 114 E 4TH AV,Vancouver,,157.0,250.0
24,Rosalie Genevieve Sylvie Kassen (Rosalie Kassen),,Office,Consultant,,Vancouver,Kitsilano,1.0,250.0
24,Health Bridge HR Inc,,Office,Consultant,300 Unit 1275 W 6TH AV,Vancouver,Fairview,4.0,250.0
24,Katy E Allen (Katy Allen),Lawson Lundell LLP,Office,Barrister & Solicitor,1600 Unit 925 W GEORGIA ST,Vancouver,Downtown,251.0,250.0
24,Jill R Pereira Law Corporation,,Office,Barrister & Solicitor,1500 Unit 1055 W GEORGIA ST,Vancouver,Downtown,1.0,250.0
